,City,Population,Zip Codes
188,Miramar,"140,823
","33023, 33025, 33027, 33029"
189,Dayton,"140,640
","
ZIP codes[4]
45400-45406, 45408-45410, 45412-45420, 45422-45424, 45426-45435, 45437, 45439-45441, 45448-45449, 45454, 45458-45459, 45469-45470, 45475, 45479, 45481-45482, 45490
 
"
190,Fullerton,"139,640
",92831-92832
191,Olathe,"139,605
","66051,66061,66062,66063"
192,Orange,"139,484
",92856–92869
193,Thornton,"139,436
","Denver 80221, 80229, 80233, 80241, 80260Brighton 80602"
194,Roseville,"139,117
","95678, 95661, 95747"
195,Denton,"138,541
",76201–76210
196,Waco,"138,183
",76700-76799
197,Surprise,"138,161
","85374, 85378-85379, 85387-85388"
198,Carrollton,"136,879
","75006, 75007, 75010, 75011"
199,West Valley City,"136,401
",N/A
200,Charleston,"136,208
","29401, 29403, 29405, 29407, 29409, 29412, 29414, 29424, 29425, 29455, 29492"
201,Warren,"134,587
","48088, 48089, 48090, 48091, 48092, 48093, 48397"
202,Hampton,"134,313
",N/A
203,Gainesville,"133,857
","32601–32614, 32627, 32635, 32641, 32653"
204,Visalia,"133,800
","93277-93279, 93290-93292"
205,Coral Springs,"133,507
","33065, 33067, 33071, 33073, 33075, 33076, 33077"
206,Columbia,"133,451
","29201, 29203-6, 29209-10, 29212, 29223, 29225, 29229"
207,Cedar Rapids,"133,174
","52227, 52228, 52233, 52324, 52338, 52401-11, 52497-99"
208,Sterling Heights,"132,964
","48310, 48311, 48312, 48313, 48314"
209,New Haven,"130,418
",06501–06540
210,Stamford,"129,775
",069xx
211,Concord,"129,688
",94518–94521
212,Kent,"129,618
","98030, 98031, 98032, 98035, 98042, 98064, 98089"
213,Santa Clara,"129,488
","95050,95051,95054"
214,Elizabeth,"128,885
",07201 – Union Square station07202 – Bayway station07206 – Elizabethport station07207 – P.O. Boxes07208 – Elmora station[15][16]
215,Round Rock,"128,739
","78664, 78665, 78680—78683"
216,Thousand Oaks,"127,690
","91359, 91320, 91360–91362"
217,Lafayette,"126,143
","70501–9, 70593, 70596, 70598"
218,Athens,"125,964
","30601, 30602, 30603, 30604, 30605, 30606, 30607, 30608, 30609, 30612"
219,Topeka,"125,904
","66601-66612, 66614-66622, 66624-66626, 66628-66629, 66636-66637, 66642, 66647, 66652-66653, 66667, 66675, 66683, 66692, 66699 [8]"
220,Simi Valley,"125,851
","93062–93065, 93093–93094, 93099"
221,Fargo,"124,844
","58102-58109, 58121-58122, 58124-58126"
222,Norman,"123,471
","73019, 73026, 73069, 73070, 73071, 73072"
223,Columbia,"123,180
","65201, 65202, 65203, 65211"
224,Abilene,"122,999
",79601-08 79697-99[4]
225,Wilmington,"122,607
",28401-28412
226,Hartford,"122,587
",061xx
227,Victorville,"122,312
",92392–92395[9]
228,Pearland,"122,149
","77581, 77584, 77588"
229,Vallejo,"121,913
","94589, 94590, 94591, 94592"
230,Ann Arbor,"121,890
","48103, 48104, 48105, 48106, 48107, 48108, 48109, 48113"
231,Berkeley,"121,643
","94701–94710, 94712, 94720"
232,Allentown,"121,433
","18101, 18102, 18103, 18104, 18105, 18106, 18109, 18175, 18195"
233,Richardson,"120,981
","75080-75083, 75085"
234,Odessa,"120,568
",79760-69
235,Arvada,"120,492
",80001-80007 and 80403[10]
236,Cambridge,"118,977
","02138, 02139, 02140, 02141, 02142"
237,Sugar Land,"118,600
","77478-79, 77487, 77496, and 77498"
238,Beaumont,"118,428
","77701–77710, 77713, 77720, 77725, 77726"
239,Lansing,"118,427
",48901-48980[4]
240,Evansville,"117,963
","
40 total ZIP codes:
47701, 47702, 47703, 47704, 47705, 47706, 47708, 47710, 47711, 47712, 47713, 47714, 47715, 47716, 47719, 47720, 47721, 47722, 47724, 47725, 47726, 47727, 47728, 47730, 47731, 47732, 47733, 47734, 47735, 47736, 47737, 47739, 47740, 47741, 47744, 47747, 47750, 47755, 47761, 47777
"
241,Rochester,"116,961
","55901, 55902, 55903, 55904, 55905, 55906"
242,Independence,"116,925
",64050-64057
243,Fairfield,"116,884
",94533–94535
244,Provo,"116,702
",84601-84606
245,Clearwater,"116,478
",33755–33769
246,College Station,"116,218
",77840-77845
247,West Jordan,"116,046
","84081, 84084, 84088"
248,Carlsbad,"115,877
","92008–92011, 92018"
249,El Monte,"115,586
",91731–91735
250,Murrieta,"114,985
",92562–92564
251,Temecula,"114,742
",92589–92593
